region,date,week,rna_mean_faeces,ci_low_rna,ci_high_rna,level,lab
Region of Southern Denmark,2023-08-17,2023-W33,1720.23,1314.78,2250.71,Low level,SSI
Capital Region of Denmark,2023-08-24,2023-W34,1995.05,1554.17,2560.99,Medium level,SSI
Central Denmark Region,2023-08-24,2023-W34,3150.4,2380.02,4170.15,Medium level,SSI
North Denmark Region,2023-08-24,2023-W34,3168.95,1933.26,5194.47,Medium level,SSI
Region Zealand,2023-08-24,2023-W34,3063.29,1810.44,5183.14,Medium level,SSI
Region of Southern Denmark,2023-08-24,2023-W34,2542.98,1642.39,3937.4,Medium level,SSI
Capital Region of Denmark,2023-08-31,2023-W35,1567.29,1043.9,2353.11,Low level,SSI
Central Denmark Region,2023-08-31,2023-W35,2183.25,1696.25,2810.06,Medium level,SSI
North Denmark Region,2023-08-31,2023-W35,1620.7,1339.73,1960.61,Low level,SSI
Region Zealand,2023-08-31,2023-W35,1206.15,792.23,1836.32,Low level,SSI
Region of Southern Denmark,2023-08-31,2023-W35,1913.08,1586.97,2306.2,Medium level,SSI
Capital Region of Denmark,2023-09-07,2023-W36,3082.31,2685.5,3537.75,Medium level,SSI
Central Denmark Region,2023-09-07,2023-W36,4559.33,3679.87,5648.96,Medium level,SSI
North Denmark Region,2023-09-07,2023-W36,2907.92,1978.75,4273.41,Medium level,SSI
Region Zealand,2023-09-07,2023-W36,3009.53,2053.65,4410.32,Medium level,SSI
Region of Southern Denmark,2023-09-07,2023-W36,2965.54,2395.52,3671.19,Medium level,SSI
Capital Region of Denmark,2023-09-14,2023-W37,2021.46,1544.45,2645.79,Medium level,SSI
Central Denmark Region,2023-09-14,2023-W37,2523.23,1988.54,3201.71,Medium level,SSI
North Denmark Region,2023-09-14,2023-W37,2969.45,2225.94,3961.32,Medium level,SSI
Region Zealand,2023-09-14,2023-W37,2003.51,1524.4,2633.21,Medium level,SSI
Region of Southern Denmark,2023-09-14,2023-W37,2907.19,2088.56,4046.68,Medium level,SSI
Capital Region of Denmark,2023-09-21,2023-W38,2986.87,1492.03,5979.37,Medium level,SSI
Central Denmark Region,2023-09-21,2023-W38,3577.71,2846.53,4496.7,Medium level,SSI
North Denmark Region,2023-09-21,2023-W38,5102.35,3459.99,7524.28,Medium level,SSI
Region Zealand,2023-09-21,2023-W38,1963.45,1249.81,3084.58,Medium level,SSI
Region of Southern Denmark,2023-09-21,2023-W38,3832.65,2115.21,6944.57,Medium level,SSI
Capital Region of Denmark,2023-09-28,2023-W39,2001.29,1513.93,2645.53,Medium level,SSI
Central Denmark Region,2023-09-28,2023-W39,3027.08,2486.63,3685,Medium level,SSI
North Denmark Region,2023-09-28,2023-W39,3631.77,2719.34,4850.35,Medium level,SSI
Region Zealand,2023-09-28,2023-W39,1917.13,1232.81,2981.3,Medium level,SSI
Region of Southern Denmark,2023-09-28,2023-W39,3203.43,2320.2,4422.88,Medium level,SSI
Capital Region of Denmark,2023-10-05,2023-W40,3344.36,2662.39,4201.01,Medium level,SSI
Central Denmark Region,2023-10-05,2023-W40,4808.57,3747.64,6169.84,Medium level,SSI
North Denmark Region,2023-10-05,2023-W40,5758.48,3822.88,8674.12,Medium level,SSI
Region Zealand,2023-10-05,2023-W40,3799.7,2388.04,6045.85,Medium level,SSI
Region of Southern Denmark,2023-10-05,2023-W40,4521.32,3441.06,5940.71,Medium level,SSI
Capital Region of Denmark,2023-10-12,2023-W41,3248.33,2415.54,4368.23,Medium level,SSI
Central Denmark Region,2023-10-12,2023-W41,5148.47,4233.92,6260.57,Medium level,SSI
North Denmark Region,2023-10-12,2023-W41,4944.94,3551.97,6884.18,Medium level,SSI
Region Zealand,2023-10-12,2023-W41,2469.5,1907.57,3196.96,Medium level,SSI
Region of Southern Denmark,2023-10-12,2023-W41,5190.25,4054.81,6643.65,Medium level,SSI
Capital Region of Denmark,2023-10-19,2023-W42,6591.7,5320.13,8167.19,Medium level,SSI
Central Denmark Region,2023-10-19,2023-W42,10188.53,8592.63,12080.83,High level,SSI
North Denmark Region,2023-10-19,2023-W42,12494.75,9853.1,15844.63,High level,SSI
Region Zealand,2023-10-19,2023-W42,5356.83,4431.04,6476.05,Medium level,SSI
Region of Southern Denmark,2023-10-19,2023-W42,11612.99,7873.37,17128.83,High level,SSI
Capital Region of Denmark,2023-10-26,2023-W43,8867.2,6519.03,12061.19,High level,SSI
Central Denmark Region,2023-10-26,2023-W43,12207.45,9269.94,16075.8,High level,SSI
North Denmark Region,2023-10-26,2023-W43,11406.58,8734.88,14895.47,High level,SSI
Region Zealand,2023-10-26,2023-W43,6465.51,4653.85,8982.43,Medium level,SSI
Region of Southern Denmark,2023-10-26,2023-W43,12905.64,9594.31,17359.83,High level,SSI
Capital Region of Denmark,2023-11-02,2023-W44,12285.45,11153.13,13532.72,High level,SSI
Central Denmark Region,2023-11-02,2023-W44,13356.31,11040.16,16158.38,High level,SSI
North Denmark Region,2023-11-02,2023-W44,14394.5,10334.63,20049.26,High level,SSI
Region Zealand,2023-11-02,2023-W44,11789.85,9641.2,14417.35,High level,SSI
Region of Southern Denmark,2023-11-02,2023-W44,15261.42,12215.66,19066.6,High level,SSI
Capital Region of Denmark,2023-11-09,2023-W45,12234.64,10125.81,14782.68,High level,SSI
Central Denmark Region,2023-11-09,2023-W45,17778.7,13275.61,23809.23,High level,SSI
North Denmark Region,2023-11-09,2023-W45,22245.06,18222.22,27156,High level,SSI
Region Zealand,2023-11-09,2023-W45,13286.89,10462.96,16873.01,High level,SSI
Region of Southern Denmark,2023-11-09,2023-W45,16144.7,13050.74,19972.15,High level,SSI
Capital Region of Denmark,2023-11-16,2023-W46,10455.73,8946.33,12219.8,High level,SSI
Central Denmark Region,2023-11-16,2023-W46,13458.53,10827.73,16728.52,High level,SSI
North Denmark Region,2023-11-16,2023-W46,21916.84,16911.61,28403.44,High level,SSI
Region Zealand,2023-11-16,2023-W46,13839.96,11520.13,16626.94,High level,SSI
Region of Southern Denmark,2023-11-16,2023-W46,16205.54,12650.7,20759.29,High level,SSI
Capital Region of Denmark,2023-11-23,2023-W47,16945.12,14136.3,20312.03,High level,SSI
Central Denmark Region,2023-11-23,2023-W47,23751.4,19887,28366.71,High level,SSI
North Denmark Region,2023-11-23,2023-W47,31088.3,26353.53,36673.72,Very high level,SSI
Region Zealand,2023-11-23,2023-W47,21359.39,17000.8,26835.41,High level,SSI
Region of Southern Denmark,2023-11-23,2023-W47,19057.03,14977.9,24247.07,High level,SSI
Capital Region of Denmark,2023-11-30,2023-W48,25301.9,19403.97,32992.54,High level,SSI
Central Denmark Region,2023-11-30,2023-W48,33124.06,23539.09,46611.97,Very high level,SSI
North Denmark Region,2023-11-30,2023-W48,38804.33,27981.7,53812.87,Very high level,SSI
Region Zealand,2023-11-30,2023-W48,31336.99,22949.23,42790.41,Very high level,SSI
Region of Southern Denmark,2023-11-30,2023-W48,29667.48,22816.56,38575.46,Very high level,SSI
Capital Region of Denmark,2023-12-07,2023-W49,51141.9,42565.19,61446.77,Very high level,SSI
Central Denmark Region,2023-12-07,2023-W49,62324.19,45350.18,85651.36,Very high level,SSI
North Denmark Region,2023-12-07,2023-W49,90152.68,58506.31,138916.73,Very high level,SSI
Region Zealand,2023-12-07,2023-W49,51716.47,42366.24,63130.3,Very high level,SSI
Region of Southern Denmark,2023-12-07,2023-W49,60231.63,47220.13,76828.45,Very high level,SSI
Capital Region of Denmark,2023-12-14,2023-W50,54720.39,45901.34,65233.86,Very high level,SSI
Central Denmark Region,2023-12-14,2023-W50,58274.81,43741.61,77636.67,Very high level,SSI
North Denmark Region,2023-12-14,2023-W50,60789.33,50713.71,72866.73,Very high level,SSI
Region Zealand,2023-12-14,2023-W50,52051.1,45706.36,59276.58,Very high level,SSI
Region of Southern Denmark,2023-12-14,2023-W50,47520.12,39918.26,56569.66,Very high level,SSI
Capital Region of Denmark,2023-12-21,2023-W51,47884.83,36499.19,62822.12,Very high level,SSI
Central Denmark Region,2023-12-21,2023-W51,55365.14,48090.36,63740.4,Very high level,SSI
North Denmark Region,2023-12-21,2023-W51,50725.04,37085.26,69381.47,Very high level,SSI
Region Zealand,2023-12-21,2023-W51,49772.73,41718.05,59382.55,Very high level,SSI
Region of Southern Denmark,2023-12-21,2023-W51,57819.35,43458.92,76925,Very high level,SSI
Capital Region of Denmark,2023-12-28,2023-W52,25537.02,21689.29,30067.35,High level,SSI
Central Denmark Region,2023-12-28,2023-W52,38018.28,30616.41,47209.64,Very high level,SSI
North Denmark Region,2023-12-28,2023-W52,58078.24,20412.44,165246.38,Very high level,SSI
Region Zealand,2023-12-28,2023-W52,27370.04,21084.25,35529.81,High level,SSI
Region of Southern Denmark,2023-12-28,2023-W52,35828.58,26769.99,47952.47,Very high level,SSI
Capital Region of Denmark,2024-01-04,2024-W01,11781.08,NA,NA,High level,SSI
Region Zealand,2024-01-04,2024-W01,5333.04,3702.38,7681.92,Medium level,SSI
Region of Southern Denmark,2024-01-04,2024-W01,8073.45,5401.43,12067.27,High level,SSI
Capital Region of Denmark,2024-01-11,2024-W02,5182.44,3942.8,6811.82,Medium level,SSI
Central Denmark Region,2024-01-11,2024-W02,6101.55,5022.26,7412.78,Medium level,SSI
North Denmark Region,2024-01-11,2024-W02,3840.26,2641.07,5583.95,Medium level,SSI
Region Zealand,2024-01-11,2024-W02,4948.64,3678.91,6656.58,Medium level,SSI
Region of Southern Denmark,2024-01-11,2024-W02,5441.38,4229.25,7000.93,Medium level,SSI
Capital Region of Denmark,2024-01-18,2024-W03,2514.06,2137.87,2956.44,Medium level,SSI
Central Denmark Region,2024-01-18,2024-W03,4767.71,2580.74,8807.94,Medium level,SSI
North Denmark Region,2024-01-18,2024-W03,1432.68,888.81,2309.34,Low level,SSI
Region Zealand,2024-01-18,2024-W03,2281.77,1698.8,3064.79,Medium level,SSI
Region of Southern Denmark,2024-01-18,2024-W03,3554.2,2196.23,5751.83,Medium level,SSI
Capital Region of Denmark,2024-01-25,2024-W04,2000.61,1384.12,2891.68,Medium level,SSI
Central Denmark Region,2024-01-25,2024-W04,2122.79,1749.81,2575.28,Medium level,SSI
North Denmark Region,2024-01-25,2024-W04,1968.5,1193.54,3246.65,Medium level,SSI
Region Zealand,2024-01-25,2024-W04,1468.01,1119.24,1925.47,Low level,SSI
Region of Southern Denmark,2024-01-25,2024-W04,2232.33,1625.34,3066,Medium level,SSI
Capital Region of Denmark,2024-02-01,2024-W05,1204.87,1005.73,1443.44,Low level,SSI
Central Denmark Region,2024-02-01,2024-W05,2069.88,1423.76,3009.21,Medium level,SSI
North Denmark Region,2024-02-01,2024-W05,1518.96,1022.56,2256.32,Low level,SSI
Region Zealand,2024-02-01,2024-W05,1421,1164.46,1734.06,Low level,SSI
Region of Southern Denmark,2024-02-01,2024-W05,1364.48,917.4,2029.42,Low level,SSI
Capital Region of Denmark,2024-02-08,2024-W06,1271.72,1008.76,1603.23,Low level,SSI
Central Denmark Region,2024-02-08,2024-W06,1397.35,1141.36,1710.76,Low level,SSI
North Denmark Region,2024-02-08,2024-W06,954.64,723.17,1260.19,Low level,SSI
Region Zealand,2024-02-08,2024-W06,846.92,583.22,1229.85,Low level,SSI
Region of Southern Denmark,2024-02-08,2024-W06,1341.04,926.11,1941.87,Low level,SSI
Capital Region of Denmark,2024-02-15,2024-W07,884.43,628.01,1245.56,Low level,SSI
Central Denmark Region,2024-02-15,2024-W07,1718.51,1196.79,2467.65,Low level,SSI
North Denmark Region,2024-02-15,2024-W07,917.68,580.27,1451.28,Low level,SSI
Region Zealand,2024-02-15,2024-W07,1039.49,665.93,1622.59,Low level,SSI
Region of Southern Denmark,2024-02-15,2024-W07,879.48,676.36,1143.62,Low level,SSI
Capital Region of Denmark,2024-02-22,2024-W08,413.81,334.45,512,Very low level,SSI
Central Denmark Region,2024-02-22,2024-W08,764.19,637.14,916.57,Low level,SSI
North Denmark Region,2024-02-22,2024-W08,681.51,474.05,979.76,Low level,SSI
Region Zealand,2024-02-22,2024-W08,911.09,583.91,1421.6,Low level,SSI
Region of Southern Denmark,2024-02-22,2024-W08,646.86,453.31,923.04,Low level,SSI
Capital Region of Denmark,2024-02-29,2024-W09,382.64,289.16,506.34,Very low level,SSI
Central Denmark Region,2024-02-29,2024-W09,460.15,344.41,614.8,Low level,SSI
North Denmark Region,2024-02-29,2024-W09,491.11,310.72,776.23,Low level,SSI
Region Zealand,2024-02-29,2024-W09,393,222.28,694.86,Very low level,SSI
Region of Southern Denmark,2024-02-29,2024-W09,501.14,326.53,769.12,Low level,SSI
Capital Region of Denmark,2024-03-07,2024-W10,273.3,193.98,385.07,Very low level,SSI
Central Denmark Region,2024-03-07,2024-W10,375.26,232.35,606.09,Very low level,SSI
North Denmark Region,2024-03-07,2024-W10,497.69,305.67,810.31,Low level,SSI
Region Zealand,2024-03-07,2024-W10,169.5,119.45,240.5,Very low level,SSI
Region of Southern Denmark,2024-03-07,2024-W10,257.65,144.63,459.02,Very low level,SSI
Capital Region of Denmark,2024-03-14,2024-W11,474.4,279.73,804.54,Low level,SSI
Central Denmark Region,2024-03-14,2024-W11,317.45,231.54,435.23,Very low level,SSI
North Denmark Region,2024-03-14,2024-W11,212.26,145.54,309.56,Very low level,SSI
Region Zealand,2024-03-14,2024-W11,174.21,118.62,255.85,Very low level,SSI
Region of Southern Denmark,2024-03-14,2024-W11,402.17,269.84,599.4,Very low level,SSI
Capital Region of Denmark,2024-03-21,2024-W12,286.93,203.92,403.74,Very low level,SSI
Central Denmark Region,2024-03-21,2024-W12,234.72,129.8,424.48,Very low level,SSI
North Denmark Region,2024-03-21,2024-W12,201.19,136.59,296.36,Very low level,SSI
Region Zealand,2024-03-21,2024-W12,267.6,119.75,598.03,Very low level,SSI
Region of Southern Denmark,2024-03-21,2024-W12,290.56,206.52,408.81,Very low level,SSI
Capital Region of Denmark,2024-03-28,2024-W13,311.88,169.74,573.07,Very low level,SSI
Central Denmark Region,2024-03-28,2024-W13,269,115.44,626.81,Very low level,SSI
North Denmark Region,2024-03-28,2024-W13,560.9,297.71,1056.73,Low level,SSI
Region Zealand,2024-03-28,2024-W13,168.36,132.91,213.28,Very low level,SSI
Region of Southern Denmark,2024-03-28,2024-W13,252.61,172.9,369.06,Very low level,SSI
Capital Region of Denmark,2024-04-04,2024-W14,333.1,203.8,544.43,Very low level,SSI
Central Denmark Region,2024-04-04,2024-W14,284.26,218.15,370.41,Very low level,SSI
North Denmark Region,2024-04-04,2024-W14,379.54,134.23,1073.19,Very low level,SSI
Region Zealand,2024-04-04,2024-W14,363.99,243.8,543.43,Very low level,SSI
Region of Southern Denmark,2024-04-04,2024-W14,407.6,300.83,552.27,Very low level,SSI
Capital Region of Denmark,2024-04-11,2024-W15,336.55,275.59,410.99,Very low level,SSI
Central Denmark Region,2024-04-11,2024-W15,458.12,330.86,634.34,Very low level,SSI
North Denmark Region,2024-04-11,2024-W15,441.18,242.78,801.72,Very low level,SSI
Region Zealand,2024-04-11,2024-W15,302.8,193.85,473,Very low level,SSI
Region of Southern Denmark,2024-04-11,2024-W15,347.22,276.71,435.7,Very low level,SSI
Capital Region of Denmark,2024-04-18,2024-W16,215.65,108.74,427.7,Very low level,SSI
Central Denmark Region,2024-04-18,2024-W16,179.59,124.95,258.12,Very low level,SSI
North Denmark Region,2024-04-18,2024-W16,258.24,146.09,456.48,Very low level,SSI
Region Zealand,2024-04-18,2024-W16,156.98,102.61,240.16,Very low level,SSI
Region of Southern Denmark,2024-04-18,2024-W16,250.56,197.8,317.39,Very low level,SSI
Capital Region of Denmark,2024-04-25,2024-W17,423.48,302.8,592.26,Very low level,SSI
Central Denmark Region,2024-04-25,2024-W17,303.53,239.17,385.21,Very low level,SSI
North Denmark Region,2024-04-25,2024-W17,315.67,146.22,681.47,Very low level,SSI
Region Zealand,2024-04-25,2024-W17,254.79,186.46,348.15,Very low level,SSI
Region of Southern Denmark,2024-04-25,2024-W17,275.7,206.76,367.62,Very low level,SSI
Capital Region of Denmark,2024-05-02,2024-W18,566.32,400.44,800.9,Low level,SSI
Central Denmark Region,2024-05-02,2024-W18,516.95,369.48,723.29,Low level,SSI
North Denmark Region,2024-05-02,2024-W18,365.66,206.41,647.76,Very low level,SSI
Region Zealand,2024-05-02,2024-W18,269.41,136.99,529.81,Very low level,SSI
Region of Southern Denmark,2024-05-02,2024-W18,424.91,277.58,650.46,Very low level,SSI
Capital Region of Denmark,2024-05-09,2024-W19,606.95,219.68,1676.97,Low level,SSI
Central Denmark Region,2024-05-09,2024-W19,424.99,288.96,625.06,Very low level,SSI
North Denmark Region,2024-05-09,2024-W19,287.07,149.86,549.93,Very low level,SSI
Region Zealand,2024-05-09,2024-W19,440.42,264.44,733.54,Very low level,SSI
Region of Southern Denmark,2024-05-09,2024-W19,277.79,120.7,639.35,Very low level,SSI
Capital Region of Denmark,2024-05-16,2024-W20,262.84,186.2,371.03,Very low level,SSI
Central Denmark Region,2024-05-16,2024-W20,244.67,158.91,376.7,Very low level,SSI
North Denmark Region,2024-05-16,2024-W20,238.77,165.02,345.5,Very low level,SSI
Region Zealand,2024-05-16,2024-W20,307.9,235.01,403.41,Very low level,SSI
Region of Southern Denmark,2024-05-16,2024-W20,95.89,78.04,117.82,Very low level,SSI
Capital Region of Denmark,2024-05-23,2024-W21,160.82,95.06,272.07,Very low level,SSI
Central Denmark Region,2024-05-23,2024-W21,207.47,108.25,397.61,Very low level,SSI
North Denmark Region,2024-05-23,2024-W21,127.84,65.51,249.44,Very low level,SSI
Region Zealand,2024-05-23,2024-W21,126.19,69.39,229.47,Very low level,SSI
Region of Southern Denmark,2024-05-23,2024-W21,138.37,72.79,263.02,Very low level,SSI
Capital Region of Denmark,2024-05-30,2024-W22,363.95,266.84,496.4,Very low level,SSI
Central Denmark Region,2024-05-30,2024-W22,408.66,301.53,553.85,Very low level,SSI
North Denmark Region,2024-05-30,2024-W22,252.37,129.17,493.08,Very low level,SSI
Region Zealand,2024-05-30,2024-W22,286.41,221.7,370,Very low level,SSI
Region of Southern Denmark,2024-05-30,2024-W22,370.89,218.7,628.97,Very low level,SSI
Capital Region of Denmark,2024-06-06,2024-W23,453.95,206.17,999.51,Very low level,SSI
Central Denmark Region,2024-06-06,2024-W23,692.78,443.38,1082.46,Low level,SSI
North Denmark Region,2024-06-06,2024-W23,561.04,321.35,979.51,Low level,SSI
Region Zealand,2024-06-06,2024-W23,305.15,198.83,468.3,Very low level,SSI
Region of Southern Denmark,2024-06-06,2024-W23,714.95,440.9,1159.34,Low level,SSI
Capital Region of Denmark,2024-06-13,2024-W24,518.45,365.07,736.27,Low level,SSI
Central Denmark Region,2024-06-13,2024-W24,716.72,548.48,936.58,Low level,SSI
North Denmark Region,2024-06-13,2024-W24,502.25,340.14,741.6,Low level,SSI
Region Zealand,2024-06-13,2024-W24,478.44,320.87,713.4,Low level,SSI
Region of Southern Denmark,2024-06-13,2024-W24,1029.08,630.39,1679.93,Low level,SSI
Capital Region of Denmark,2024-06-20,2024-W25,935.66,660.79,1324.86,Low level,SSI
Central Denmark Region,2024-06-20,2024-W25,1408.72,832.55,2383.65,Low level,SSI
North Denmark Region,2024-06-20,2024-W25,705.1,414.12,1200.53,Low level,SSI
Region Zealand,2024-06-20,2024-W25,916.99,614.51,1368.35,Low level,SSI
Region of Southern Denmark,2024-06-20,2024-W25,632.97,478.36,837.53,Low level,SSI
Capital Region of Denmark,2024-06-27,2024-W26,850.19,564.63,1280.17,Low level,SSI
Central Denmark Region,2024-06-27,2024-W26,1921.29,1181.3,3124.81,Medium level,SSI
North Denmark Region,2024-06-27,2024-W26,803.35,596.72,1081.53,Low level,SSI
Region Zealand,2024-06-27,2024-W26,1040.71,655.05,1653.43,Low level,SSI
Region of Southern Denmark,2024-06-27,2024-W26,1020.45,715.96,1454.45,Low level,SSI
Capital Region of Denmark,2024-07-04,2024-W27,1698.71,1227.58,2350.66,Low level,SSI
Central Denmark Region,2024-07-04,2024-W27,2416.12,1657.3,3522.38,Medium level,SSI
North Denmark Region,2024-07-04,2024-W27,1543.43,1174.88,2027.59,Low level,SSI
Region Zealand,2024-07-04,2024-W27,1735.78,991.9,3037.52,Low level,SSI
Region of Southern Denmark,2024-07-04,2024-W27,2629.99,2046.65,3379.61,Medium level,SSI
Capital Region of Denmark,2024-07-11,2024-W28,3021.53,2071.26,4407.76,Medium level,SSI
Central Denmark Region,2024-07-11,2024-W28,3538.42,2855.25,4385.05,Medium level,SSI
North Denmark Region,2024-07-11,2024-W28,3913.16,2978.34,5141.38,Medium level,SSI
Region Zealand,2024-07-11,2024-W28,1873.82,1416.61,2478.6,Medium level,SSI
Region of Southern Denmark,2024-07-11,2024-W28,3368.91,2644.61,4291.6,Medium level,SSI
Capital Region of Denmark,2024-07-18,2024-W29,2243.37,1693.52,2971.74,Medium level,SSI
Central Denmark Region,2024-07-18,2024-W29,2686.36,2070.17,3485.96,Medium level,SSI
North Denmark Region,2024-07-18,2024-W29,2977.42,2124.9,4171.99,Medium level,SSI
Region Zealand,2024-07-18,2024-W29,1676.02,1312.73,2139.85,Low level,SSI
Region of Southern Denmark,2024-07-18,2024-W29,2443.57,2009.95,2970.74,Medium level,SSI
Capital Region of Denmark,2024-07-25,2024-W30,1721.51,1334.68,2220.46,Low level,SSI
Central Denmark Region,2024-07-25,2024-W30,2149.36,1562.7,2956.26,Medium level,SSI
North Denmark Region,2024-07-25,2024-W30,2867.93,2405.66,3419.02,Medium level,SSI
Region Zealand,2024-07-25,2024-W30,1401.47,984.44,1995.17,Low level,SSI
Region of Southern Denmark,2024-07-25,2024-W30,2158.47,1587.38,2935.02,Medium level,SSI
Capital Region of Denmark,2024-08-01,2024-W31,937.63,746.52,1177.66,Low level,SSI
Central Denmark Region,2024-08-01,2024-W31,1859.83,1466.85,2358.09,Medium level,SSI
North Denmark Region,2024-08-01,2024-W31,1717.55,1292.76,2281.92,Low level,SSI
Region Zealand,2024-08-01,2024-W31,939.18,781.11,1129.23,Low level,SSI
Region of Southern Denmark,2024-08-01,2024-W31,1553.04,1185.36,2034.77,Low level,SSI
Capital Region of Denmark,2024-08-08,2024-W32,1228.37,686.49,2198,Low level,SSI
Central Denmark Region,2024-08-08,2024-W32,1319.48,1017.19,1711.62,Low level,SSI
North Denmark Region,2024-08-08,2024-W32,951.51,582.02,1555.55,Low level,SSI
Region Zealand,2024-08-08,2024-W32,1052.8,866.62,1278.97,Low level,SSI
Region of Southern Denmark,2024-08-08,2024-W32,1251.32,956.53,1636.96,Low level,SSI
Capital Region of Denmark,2024-08-15,2024-W33,514.62,356.61,742.65,Low level,SSI
Central Denmark Region,2024-08-15,2024-W33,1726.3,1306.46,2281.05,Low level,SSI
North Denmark Region,2024-08-15,2024-W33,1121.14,753.59,1667.96,Low level,SSI
Region Zealand,2024-08-15,2024-W33,612.31,418.3,896.3,Low level,SSI
Region of Southern Denmark,2024-08-15,2024-W33,1257.59,938.46,1685.24,Low level,SSI
Capital Region of Denmark,2024-08-22,2024-W34,706.23,545.05,915.07,Low level,SSI
Central Denmark Region,2024-08-22,2024-W34,2565.99,1940.79,3392.59,Medium level,SSI
North Denmark Region,2024-08-22,2024-W34,1365.79,955.4,1952.48,Low level,SSI
Region Zealand,2024-08-22,2024-W34,663.73,536.02,821.87,Low level,SSI
Region of Southern Denmark,2024-08-22,2024-W34,1212.23,809.83,1814.57,Low level,SSI
Capital Region of Denmark,2024-08-29,2024-W35,1002.22,742.41,1352.95,Low level,SSI
Central Denmark Region,2024-08-29,2024-W35,3717.26,2841.72,4862.55,Medium level,SSI
North Denmark Region,2024-08-29,2024-W35,2323.13,1787.69,3018.95,Medium level,SSI
Region Zealand,2024-08-29,2024-W35,1003.24,707.43,1422.75,Low level,SSI
Region of Southern Denmark,2024-08-29,2024-W35,2372.15,1787.75,3147.59,Medium level,SSI
Capital Region of Denmark,2024-09-05,2024-W36,986.44,766.09,1270.17,Low level,SSI
Central Denmark Region,2024-09-05,2024-W36,3784.85,2867.83,4995.11,Medium level,SSI
North Denmark Region,2024-09-05,2024-W36,3219.64,2218.83,4671.88,Medium level,SSI
Region Zealand,2024-09-05,2024-W36,1120.8,780.77,1608.91,Low level,SSI
Region of Southern Denmark,2024-09-05,2024-W36,2298.72,1708.99,3091.95,Medium level,SSI
Capital Region of Denmark,2024-09-12,2024-W37,983.09,592.9,1630.08,Low level,SSI
Central Denmark Region,2024-09-12,2024-W37,2810.46,1881.11,4198.96,Medium level,SSI
North Denmark Region,2024-09-12,2024-W37,2368.9,1540.48,3642.84,Medium level,SSI
Region Zealand,2024-09-12,2024-W37,1180.87,963.24,1447.67,Low level,SSI
Region of Southern Denmark,2024-09-12,2024-W37,1914.35,1467.41,2497.41,Medium level,SSI
Capital Region of Denmark,2024-09-19,2024-W38,635.72,525.59,768.91,Low level,SSI
Central Denmark Region,2024-09-19,2024-W38,1936.33,1490.51,2515.48,Medium level,SSI
North Denmark Region,2024-09-19,2024-W38,1841.07,1246.92,2718.33,Medium level,SSI
Region Zealand,2024-09-19,2024-W38,1062.44,649.44,1738.08,Low level,SSI
Region of Southern Denmark,2024-09-19,2024-W38,1439.42,1000.39,2071.13,Low level,SSI
Capital Region of Denmark,2024-09-26,2024-W39,682.39,459.4,1013.62,Low level,SSI
Central Denmark Region,2024-09-26,2024-W39,1466.94,919.94,2339.18,Low level,SSI
North Denmark Region,2024-09-26,2024-W39,1259.39,908.46,1745.88,Low level,SSI
Region Zealand,2024-09-26,2024-W39,1006.65,777.22,1303.82,Low level,SSI
Region of Southern Denmark,2024-09-26,2024-W39,1332.68,919.94,1930.62,Low level,SSI
Capital Region of Denmark,2024-10-03,2024-W40,605.58,454.62,806.68,Low level,SSI
Central Denmark Region,2024-10-03,2024-W40,1416.24,922.32,2174.65,Low level,SSI
North Denmark Region,2024-10-03,2024-W40,1684.23,878.09,3230.48,Low level,SSI
Region Zealand,2024-10-03,2024-W40,1079.99,863.48,1350.78,Low level,SSI
Region of Southern Denmark,2024-10-03,2024-W40,1539.88,1114.42,2127.76,Low level,SSI
Capital Region of Denmark,2024-10-10,2024-W41,1412.39,854.66,2334.08,Low level,SSI
Central Denmark Region,2024-10-10,2024-W41,1758.06,1237.4,2497.81,Low level,SSI
North Denmark Region,2024-10-10,2024-W41,1878.38,1148.41,3072.35,Medium level,SSI
Region Zealand,2024-10-10,2024-W41,1277.9,1119.23,1459.06,Low level,SSI
Region of Southern Denmark,2024-10-10,2024-W41,1762.27,1226.3,2532.49,Low level,SSI
Capital Region of Denmark,2024-10-17,2024-W42,1366.26,1111.41,1679.55,Low level,SSI
Central Denmark Region,2024-10-17,2024-W42,1166.55,824.92,1649.67,Low level,SSI
North Denmark Region,2024-10-17,2024-W42,1876.56,1258.36,2798.49,Medium level,SSI
Region Zealand,2024-10-17,2024-W42,1639.22,1280.8,2097.94,Low level,SSI
Region of Southern Denmark,2024-10-17,2024-W42,1766.04,1348.47,2312.91,Low level,SSI
Capital Region of Denmark,2024-10-24,2024-W43,763.19,529.35,1100.33,Low level,SSI
Central Denmark Region,2024-10-24,2024-W43,829.03,614.5,1118.46,Low level,SSI
North Denmark Region,2024-10-24,2024-W43,835.93,484.42,1442.52,Low level,SSI
Region Zealand,2024-10-24,2024-W43,1890.18,1357.87,2631.16,Medium level,SSI
Region of Southern Denmark,2024-10-24,2024-W43,1687.41,1185.03,2402.76,Low level,SSI
Capital Region of Denmark,2024-10-31,2024-W44,753.85,587.87,966.69,Low level,SSI
Central Denmark Region,2024-10-31,2024-W44,807.78,593.85,1098.77,Low level,SSI
North Denmark Region,2024-10-31,2024-W44,999,584.9,1706.28,Low level,SSI
Region Zealand,2024-10-31,2024-W44,1693.05,1216.84,2355.63,Low level,SSI
Region of Southern Denmark,2024-10-31,2024-W44,1113.38,798.52,1552.39,Low level,SSI
